Date,Time,Sender,Message
2025-12-16,16:30:02,GitHub repos,"**HKUDS/AnyTool** ""AnyTool: Universal Tool-Use Layer for AI Agents"" **Language**: Python #ai_agents #mcp #tool_orchestration #tool_use **Stars**: 322 **Issues**: 1 **Forks**: 38 [https://github.com/HKUDS/AnyTool](https://github.com/HKUDS/AnyTool)"
2025-12-16,10:30:03,GitHub repos,"**Gentleman-Programming/gentleman-guardian-angel** 😇 Gentleman Guardian Angel (gga) - Provider-agnostic code review using AI. Use Claude, Gemini, Codex, Ollama to enforce your coding standards. **Language**: Shell **Stars**: 284 **Issues**: 0 **Forks**: 22 [https://github.com/Gentleman-Programming/gentleman-guardian-angel](https://github.com/Gentleman-Programming/gentleman-guardian-angel)"
2025-12-16,04:30:02,GitHub repos,**eliasjudin/oai-skills** The contents of /home/oai/skills in ChatGPT's code interpreter environment **Language**: Python **Stars**: 284 **Issues**: 1 **Forks**: 69 [https://github.com/eliasjudin/oai-skills](https://github.com/eliasjudin/oai-skills)
2025-12-15,22:30:03,GitHub repos,**meltylabs/chorus** Chorus - AI chat app for Mac **Language**: TypeScript **Stars**: 329 **Issues**: 1 **Forks**: 41 [https://github.com/meltylabs/chorus](https://github.com/meltylabs/chorus)
2025-12-15,16:30:02,GitHub repos,**eooce/Gla-deploy** **Language**: JavaScript **Stars**: 854 **Issues**: 0 **Forks**: 171 [https://github.com/eooce/Gla-deploy](https://github.com/eooce/Gla-deploy)
2025-12-15,10:30:02,GitHub repos,"**devcarron/casino-games-web3** casino games blockchain, multichain, solana, ethereum, bitcoin, ethereum, binance, tron, erc-20, bep-20, trc-20, A modern crypto-powered gaming platform supporting multi-chain tokens and exciting on-chain games. This platform provides a comprehensive gaming experience with real-time multiplayer gameplay, secure wallet integration. **Language**: JavaScript #bep_20 #binance #bitcoin #blockchain #casino #casino_game #chatroom #crash #erc_20 #ethereum #game #mines #pl"
2025-12-15,04:30:02,GitHub repos,**3lp4tr0n/SessionHop** Windows Session Hijacking via COM **Language**: C# **Stars**: 241 **Issues**: 0 **Forks**: 25 [https://github.com/3lp4tr0n/SessionHop](https://github.com/3lp4tr0n/SessionHop)
2025-12-14,22:30:02,GitHub repos,"**qwwzdyj/AIA-Academic-Illustrator-** An AI agent that automates the creation of CVPR/NeurIPS standard academic diagrams. Implements a strict ""Logic (Architect) -> Vision (Renderer)"" workflow to transform paper abstracts into high-fidelity scientific illustrations. **Language**: JavaScript **Stars**: 258 **Issues**: 1 **Forks**: 25 [https://github.com/qwwzdyj/AIA-Academic-Illustrator-](https://github.com/qwwzdyj/AIA-Academic-Illustrator-)"
2025-12-14,16:30:02,GitHub repos,"**farouqaldori/claude-island** Claude Code notifications without the context switch. A minimal, always-present session manager for macOS. **Language**: Swift **Stars**: 326 **Issues**: 10 **Forks**: 27 [https://github.com/farouqaldori/claude-island](https://github.com/farouqaldori/claude-island)"
2025-12-14,10:30:03,GitHub repos,**zack0x01/CVE-2025-55182-advanced-scanner-** **Language**: Shell **Stars**: 247 **Issues**: 0 **Forks**: 38 [https://github.com/zack0x01/CVE-2025-55182-advanced-scanner-](https://github.com/zack0x01/CVE-2025-55182-advanced-scanner-)
2025-12-14,04:30:03,GitHub repos,**stoolap/stoolap** A Modern Embedded SQL Database written in Rust **Language**: Rust #database #embedded_sql #mvcc #rust #sql **Stars**: 267 **Issues**: 0 **Forks**: 7 [https://github.com/stoolap/stoolap](https://github.com/stoolap/stoolap)
2025-12-13,22:30:03,GitHub repos,**cporter202/scraping-apis-for-devs** This GitHub repo is a powerhouse collection of scraping APIs for developers that you can start using immediately to build everything from simple automations to full-scale applications.  **Language**: JavaScript #api_library #api_list #developer_api #scraping_api **Stars**: 458 **Issues**: 0 **Forks**: 106 [https://github.com/cporter202/scraping-apis-for-devs](https://github.com/cporter202/scraping-apis-for-devs)
